PIANO MAN,Billy Joel,240,C:\Users\usman\OneDrive\Desktop\PLAYLIST\Billy Joel - Piano Man (Official HD Video) - billyjoelVEVO.mp3
DO I WANNA KNOW,Arctic Monkeys,240,C:\Users\usman\OneDrive\Desktop\PLAYLIST\Arctic Monkeys - Do I Wanna Know (Official Video) - Official Arctic Monkeys.mp3
THE A TEAM,Ed Sheeran,260,C:\Users\usman\OneDrive\Desktop\PLAYLIST\Ed Sheeran - The A Team [Official Music Video] - Ed Sheeran.mp3
HEATHENS,Twenty One Pilots,215,C:\Users\usman\OneDrive\Desktop\PLAYLIST\twenty one pilots Heathens (from Suicide Squad The Album) [OFFICIAL VIDEO] - Fueled By Ramen.mp3
ALABAMA ARKANSAS,unknown,210,C:\Users\usman\OneDrive\Desktop\PLAYLIST\Edward Sharpe & The Magnetic Zeros - Home (Official Video).mp3
